0.16,149.2
0.32,105.5
0.48,88.3
0.64,77.3
0.8,83.0
0.96,72.3
1.12,98.4
1.28,120.9
1.44,142.3
1.6,124.2
1.76,119.8
1.92,101.4
2.08,123.4
2.24,153.2
2.4,116.9
2.56,108.1
2.72,128.1
2.88,127.5
3.04,107.3
3.2,112.0
3.36,109.0
3.52,123.4
3.68,123.8
3.84,113.8
4.0,125.0
4.16,141.6
4.32,152.6
4.48,116.4
4.64,120.4
4.8,123.6
4.96,102.1
5.12,112.5
5.28,116.2
5.44,153.1
5.6,107.8
5.76,111.7
5.92,102.2
6.08,90.4
6.24,124.4
6.4,109.0
6.56,143.6
6.72,102.6
6.88,140.7
7.04,111.6
7.2,122.2
7.36,125.5
7.52,103.4
7.68,97.9
7.84,113.1
8.0,106.0
8.16,116.1
8.32,98.3
8.48,127.8
8.64,129.6
8.8,127.0
8.96,125.4
9.12,89.8
9.28,107.9
9.44,113.4
9.6,99.6
9.76,106.8
9.92,145.4
10.08,147.0
10.24,97.0
10.4,131.7
10.56,109.9
10.72,120.4
10.88,125.9
11.04,136.0
11.2,108.6
11.36,108.2
11.52,102.6
11.68,99.8
11.84,114.0
12.0,114.8
12.16,115.7
12.32,116.2
12.48,114.3
12.64,117.0
12.8,112.7
12.96,113.4
13.12,111.9
13.28,128.2
13.44,124.6
13.6,115.4
13.76,127.5
13.92,129.2
14.08,124.2
14.24,122.3
14.4,116.8
14.56,142.6
14.72,132.2
14.88,102.0
15.04,120.7
15.2,122.1
15.36,114.1
15.52,112.7
15.68,103.0
15.84,115.6
16.0,133.9
